label,text
0,"Đặt kem lót,sẵn đặt luôn cho rẻ.Nhưng mình lầm.Tận 142k(giá gốc >300k)mà nhận về thất vọng từ lần đầu son.Sau đó mới thấy review trên fb và youtube,phải chi đọc sớm hơn.Chất son quá nhiều bột,phải tẩy da chết nếu ko bị vón cục.Son lên ko đều được,lộ vân môi rất nhiều,mau trôi.Nên để tự khô đừng bặm"
1,"Ui dồi ôi giá đỡ chắc chắn lắm luôn nha mọi người, nên mua nè. Dùng ipad mua thêm bàn phím nữa là tuyệt vời :)))))))))"
0,Son nhanh trôi. Bị khô môi. Màu ko sáng như hình ảnh
1,"Đồ khá là xịn xò, cứng cáp, khá nặng nữa đó. Theo ý của mình phù hợp với giá tiền nhá"
0,Không hề lì xíu nào luôn nha bay sạch sau 1 lần lau. Với cái giá sale siêu thấp thì cũng sài được nhưng vẫn không ưng cái vụ không lì. Đóng hàng tốt. ( video mang tính chất quên quay sản phẩm)
1,"Hạng đẹp, cứng cáp, có chổ cất cây lục giác là thích rồi , xứng đáng 5*"
0,"Đồ còn rất nhiều chỉ thừa,shop gửi hàng đi chậm lỡ cả việc của mình,mình đặt đồ mà 5 ngày sau shop mới gửi,mà mình cũng nhắn tin nhờ shop rồi mà vẫn thế,đến khi gửi thì không có mẫu mình đặt phải đổi âng mẫu khác. Nchung là đặt hàng lần đầu mà thất vọng quá,chắc không có lần sau nữa,vưa chán với shop. Nh mà thôi đồ cungk lhas oi,nchung thì đồ tiền nào của nấy thôi"
1,"Hàng chắc chắn lắm, cứng cáp. Đóng gói lỹ, dáng tiền mua. Mua cho bé học online quá ok luôn"
0,"Mk cao m72 nặng từ 55-60kg mà mua 29 cứ như mua 92,ống quần quá rộng và sâu…..ko bao giờ mua lại lần2"
1,Hang tốt chắc chắn khá nặng khôhg sợ bị lật. Đáng tiền. Nên mua nha mọi người
0,Quần rách .đặt 2 thì nhận đc 1 . Ib thì ko trả lời.mọi người ko nên mua .
1,"Hàng y hình, cầm nặng tay, chất lượng, xài thoải mái và dễ dàng"
0,"Chất lượng sản phẩm khá tệ . Form khá giống quần của cn gái ạ . Sản phẩm không giắc sổ kỹ nên rất dễ bung chỉ + với rất nhiều chỉ thừa. Sản phẩm mình nhận bị lỗi ở đáy quần, nhắn tin cho shop shop vẫn chưa rep ạ . Khá lâu nên thôi mình đành ôm ạ. Sản phẩm rất tệ. Quần rất mõng và dãy rất ghẽ tiền !!"
1,"Sản phẩm chắc chắn, nặng tay, đóng gói chắc chắn, nên mua, phù hợp giá tiền"
0,"Mình mua 2 quần, 1 trắng 1 đen, quần trắng rất ổn còn cái quần đen thì thôi rồi lúc đầu vừa nhận hàng nó không có cúc, sau khi mình mặc đi chơi thì nó rách 1 lỗ lớn ở bên hông"
1,"Hàng rất chắc chắn, chất lượng đúng như bài đăng, nên mua nha mọi người"
0,"mua của JBAGY nhiều lần cả áo và quần nhưng lần này Shipper thái độ kì, cáu kỉnh giao hàng rất chậm tạm cho Shop 1 sao."
1,"Sản phẩm chắc chắn, sang xịn mịn, nên mua để bàn làm việc nhé mn"
0,"Quần lên dáng sấu , vải mỏng nhanh nhàu nát . Giao hàng lâu , tiền nào của đó thôi"
1,"Kệ chắc chắn, chất lượng cao, tiện dụng. Shop lắp vít trước nhưng vặn hơi chặt."
0,"Vải mỏng lắm mọi người. Giá 95k.
Không nên mua lúc giá 149k, 135k, Còn muốn mua thì nên chọn lúc shop sale 115k và voucher giảm 20k của shop luôn. Giá tổng 95k.
"
1,"Giá đỡ dùng tốt, có đi kèm với 1 cái thanh vặn cho ai muốn chặt lay lõng, khá là tiện. Shop gói hàng cẩn thận."
0,"SHOP PHỤC VỤ KÉM. Quần mỏng lên form trông ọp ẹp không được đẹp. Còn lỗi phần đáy quần, chỉ thừa còn nhiều. Số đo chưa được chính xác mình cao m70 52kg mang 29 còn chật phần đùi và ngắn. Không đáng tiền và thơid gian bỏ ra chờ. Nhưng mua về ăn Tết nên đành vậy thôi"
1,"Chất lượng chưa dùng chưa đánh giá được, nhưng mẫu mã và màu sắc khá ổn. Khá kiên cố chắc chắn!"
0,Đừng mua của shop Mình có hỏi rõ sz để mua rồi. Mua đúng sz thì về k mặc đc báo lại shop thì kêu tự chịu ship 2 đầu và mình có yêu cầu tới shop đổi vì gần nhà thì bảo k cho tới kì mãi cx bảo ship 2 chiều . Buôn bán mà như này sau này k có chữ tín ai thèm mua
1,"Giá làm bằng kim loại, rất chắc chắn, để ipad trông rất sang. Shop giao hàng nhanh và bọc cẩn thận. Sẽ tiếp tục ủng hộ trong thời gian tới."
0,"Giao thiếu hàng , gọi không có nhân viện phản hồi,  chăm sóc khách hàng kém"
1,Kệ đẹp Chất lượng sản phẩm tuyệt vời Đóng gói chắc chắn. Xịn lắm ạ
0,"Sản phẩm giống hình 100% thái độ phục vụ kém đặt hàng 10 ngày mới bắt đầu gửi hàng
"
1,"sản phẩm đóng gói cẩn thận, chất lượng o0k , giao hàng nhanh - cẩn thận , lần sau sẽ mua hủng hộ shop tiếp , Thanks"
0,Dịch vụ đổi trả hơi kém quần 120 mà gửi bưu điện đi mất 50 nữa thì còn gì
1,"Sản phẩm rất xinh đẹp tuyệt vời, tôi không thể trông đợi gì hơn. Cảm ơn nhà cung cấp, nhà sản xuất, cảm ơn người bán hàng, cảm ơn sàn thương mại điện tử, cảm ơn người vận chuyển để tôi có cơ hội dùng sản phẩm tốt như thế này."
0,"Lần đầu mua rất tốt nhưng sang đến lần thứ 2 thì quá tệ 
Độ hoàn thiện kém 
Chỉ thừa nhiều phần cài cúc chán luôn"
1,"hàng gói kỹ, nhìn đẹp và chắc chắn, để điện thoại ok lắm nha"
0,"Quần to so với kích thước
"
1,"Giá đỡ cực chắc chắn luôn, shop rep tin nhắn nhanh và nhiệt tình. Mình rất hài lòng về sản phẩm"
0,"Sao lại giao đôi tất yêu cầu shop hoàn tiền giúp mình
"
1,"Hàng như hình rất chắc chắn, giao nhanh, đáng tiền. Mỗi tội đóng gói khá chán. Mà mình đem tặng nên k chụp được hic."
0,"Quần bị bẩn với chỉ thừa nhiều, quần chưa mặc đã bị bung cúc. Sản phẩn k đúng với quảng cáo
"
1,Hàng chuyển tới sớm hơn dự kiến. Chất lượng hoàn thiện sp tốt. Tks shop
0,Quần không đẹp mặc như ông già. Không khác gì quần tây ông già ngoài đường mấy chục ngàn. Định cho 2 sao mà đang khó ở nên 1sao thuiiiiii. Tức.
1,"Hàng đẹp, nhôm chắc cứng, đáng đồng tiền bỏ ra. Cho shop 5 sao."
0,"Quần đẹp nhưng shop lại giao hàng không đúng size cả hai đều là size 29 mà cái to cái nhỏ thập chí còn rộng hơn size 30 ban đầu mình đặt, quá thất vọng
"
1,"Nhận hàng xong mà ưng cái bụng . Hàng đẹp , cầm chắc tay . 1sp đáng để mua"
0,Tệ
1,"Mình rất ít khi đánh giá shop sau khi mua hàng, lần này thật sự thấy hài lòng về tất cả, giao hàng nhanh tư vấn kỹ bàn đẹp như hình mô tả có 10 sao cũng chấm cho shop."
0,Chê
1,"Shop gói hàng tương đối cẩn thận hình thức bàn đẹp và chắc chắn, mặt bàn gỗ đen mịn sờ khá thích, giá rẻ hơn so với các sp cùng mẫu mã mọi người nên mua nhé"
0,Shop gửi thiếu hàng!!! 🙂 Đó là chiếc móc khoá chỉ 10k đối với tôi nó không giá trị là bao nhiêu nhưng điều đó khẳng định rằng Shop làm ăn thiếu chuyên nghiệp.Khi mình nhắn tin hỏi về vấn đề này thì Shop không trả lời trong thời gian khá lâu điều đó khẳng định chuyên viên tư vấn không tận tâm.
1,"Hàng bao xịn luôn nha, với giá này thì chiếc bàn này quá ư là hợp lý nha mn. Shop gói hàng cẩn thận ship hỏa tốc nhanh gọn. Cực kì hài lòng vì mình đã tìm mua bàn khắp shoppee mà hầu như shop nào cũng gói bàn ẩu làm hư hỏng bàn."
0,Quần như cc ko nên muazzzzzzzzzzzzgfdfffffttttg
1,Bàn dùng oke chắc chắn ship siêu nhanh ngủ 1 giấc đã thấy shipper gọi lấy hàng rồi Góc nghiêng chắc chắn có giá đỡ máy tính tầm nhìn ok
0,"Đường may kém, nhưng shop bảo do mình mông to quá nên bị rạch vậy (mặc dù quần rộng). Shop bán quần áo mà lật mặt nhanh hơn bánh tráng nướng 😂😂 Còn xúc phạm ng ta đòi tiền shop nữa."
1,"Nhìn hình mình cứ nghĩ nhỏ nhưng nhận được rồi thì khá to, siêu tiện lợi"
0,"Chất lượng như đồ chơi cho con nít vậy.
Kính thua mấy chú bán mắt kính gánh hàng rong phí tiền ko nên mua.
"
1,"Rất chắn chắn, màu dễ thương, đọc sách rất ổn, đa công dụng, văn phòng nên mua nhé"
0,"Chất lượng không như kỳ vọng kín không giống ảnh minh họa hoặc bất kỳ ảnh nào mà shop để để giống như treo đầ.u d.ê bán thị t choá Thành mua shop Việt Nam còn có thể đổi trả chả mua nước ngoài thì chịu
0:20
"
1,"Bàn đẹp, đóng gói các góc cẩn thận"
0,"Lần này đơn hàng k hài lòng lắm , cứ tưởng là kính trog suốc chỉ có mỗi thanh đeo có màu ai nhờ kính có màu hét đeo lên k hợp với mặt"
1,Giá thì hơi mắc nhưng mà sản phẩm nhận được thì rất ok nên là đánh 5 sao.
0,hơi thất vọng kính hơi khác hình nhưng cho 10 điểm giao hàng vì
1,Bàn đẹp khá chắc chắn giao hàng nhanh .đáng đồng tiền bát gạo ok
0,"Kính lần này thất vọng quá ạ :'( 2 bên kính không giống nhau, một bên kính hơi bị đục ạ (e cứ nghĩ kính bị dơ nên lau nhưng hoài mà hong đc) mong lần sau mua shop sẽ check kính lại kĩ hơn trc khi giao ạ ❤️"
1,Bàn nom khá xịn. Cũng khá chắc chắn. Sẽ ủng hộ tiếp nếu cần 😃😃😃😃
0,"Kính gọng khá là yếu và chặt nếu k cẩn thận thì sẽ bị gãy. Màu hồng thì tạm ổn còn màu vàng thì k thích, màu xanh thì bt. Trước bạn của mình có mua ở đây nhưng về đẹp hơn nhiều so với mình mua"
1,"Bàn đẹp, chắc chắn, giao cũng nhanh. Shop thì rất tốt bụng vì mình không biết nên có gọi hỏi. Shop nhiệt tình trả lời và hỗ trợ hết mình."
0,"Giao hàng quá lâu gọng kính bị cứng hàng cx tạm đc dễ gãy nx .....
"
1,"Xịn xò wa' trời, chắc chắn mà đẹp nữa, sp như hình minh họa 10đ nhoaaaaaa"
0,"Quần xấu lắm mình mặc vô hông đẹp do tướng mình xấu!
"
1,Đã nhận dk hang .đẹp đúng nhu tư vấn .trắc chắn .dịch ma hàng giao nhah .moi đặt ma nay đã nhận dk rồi .mng nen mua ạ. Chấm shop 1000 sao
0,"Áo thì rách thấy k đáng nên mình mấy lại dùng 
Đặt 2 đôi dớ tính tiền 2 nhưng chỉ giao 1 làm ăn kém chất lượng , thấy mùa dịch này vận chuyển trả hàng khó khăn nên shop làm ăn kiểu v , không có lần sau nữa 
Mọi người cân nhắc khi mua đồ shop này"
1,"Shop giao hàng nhanh, tư vấn nhiệt tình. Nhận được hàng lắp luôn cho nóng :))"
0,"Đặt 36 giao 38, trên tem ghi 36, trên áo ghi 38. Làm ăn linh ta linh tinh"
1,"Bàn về rất đẹp, mặc dù vận chuyền có chút trục trặc nhưng shop vẫn hỗ trợ hết mình. Bàn có mẻ 1 góc nhỏ nhưng ko sao mặt bàn vẫn đẹp nguyên. Xung quanh các góc có bọc xốp nên khá yên tâm"
0,"Bảo lấy màu da nhưng lại giao màu vàng với màu nâu. Sop ban hang ko uy tin
"
1,"Đẹp. Rất đáng mua, shop tư vấn tận tình dễ thương chua đáo."
0,"Như đồ chơi, áo mỏng, mặc xoè ra không ôm ngực, chưa giặt nhưng chất vải không ok lắm. Giặt máy nhanh hư
"
1,"Bàn to, đẹp, nặng và chắc mà còn gấp chân gọn được nữa! Mình đặt xa nên cũng lo lắng hàng sẽ trầy xước, móp méo, nhưng shop gói hàng rất chắc và cẩn thận, nhận hàng là ưng ngay! Shop còn chăm sóc khách hàng rất nhiệt tình và trân quý! Sẽ ủng hộ shop nhiều hơn nữa, chỉ ngại shop vận chuyển xa thôi!"
